"Date","Id","Site","School","Opp","H1","Opp.H1","H2","Opp.H2","Final","Opp.Final","Conference","Opp.Conf"
2018-11-06,1,"away","Mid-Atlantic Christ.","Hampton",28,55,30,55,58,110,NA,"Big South"
2018-11-06,1,"home","Hampton","Mid-Atlantic Christ.",55,28,55,30,110,58,"Big South",NA
2018-11-06,2,"away","Maine","Denver",27,27,23,36,50,63,"AE","Summit"
2018-11-06,2,"home","Denver","Maine",27,27,36,23,63,50,"Summit","AE"
2018-11-06,3,"away","Wis. Lutheran","Green Bay",20,59,34,51,54,110,NA,"Horizon"
2018-11-06,3,"home","Green Bay","Wis. Lutheran",59,20,51,34,110,54,"Horizon",NA
2018-11-06,4,"away","Saint Francis (PA)","Buffalo",34,42,33,40,67,82,"NEC","MAC"
2018-11-06,4,"home","Buffalo","Saint Francis (PA)",42,34,40,33,82,67,"MAC","NEC"
2018-11-06,5,"away","Rochester College","Eastern Mich.",39,42,28,35,67,77,NA,"MAC"
2018-11-06,5,"home","Eastern Mich.","Rochester College",42,39,35,28,77,67,"MAC",NA
2018-11-06,6,"away","Ky. Christian","Morehead St.",41,61,41,41,82,102,NA,"OVC"
2018-11-06,6,"home","Morehead St.","Ky. Christian",61,41,41,41,102,82,"OVC",NA
2018-11-06,7,"away","Siena","Providence",34,50,33,27,67,77,"MAAC","Big East"
2018-11-06,7,"home","Providence","Siena",50,34,27,33,77,67,"Big East","MAAC"
2018-11-06,8,"away","Rider","UCF",34,43,36,41,70,84,"MAAC","AAC"
2018-11-06,8,"home","UCF","Rider",43,34,41,36,84,70,"AAC","MAAC"
2018-11-06,9,"away","Loyola Maryland","St. John's (NY)",23,48,32,28,55,76,"Patriot","Big East"
2018-11-06,9,"home","St. John's (NY)","Loyola Maryland",48,23,28,32,76,55,"Big East","Patriot"
2018-11-06,10,"away","Wagner","Seton Hall",27,43,22,46,49,89,"NEC","Big East"
2018-11-06,10,"home","Seton Hall","Wagner",43,27,46,22,89,49,"Big East","NEC"
2018-11-06,11,"away","Milwaukee","Boston College",37,27,16,46,53,73,"Horizon","ACC"
2018-11-06,11,"home","Boston College","Milwaukee",27,37,46,16,73,53,"ACC","Horizon"
2018-11-06,12,"away","Fairfield","Purdue",27,44,30,46,57,90,"MAAC","Big Ten"
2018-11-06,12,"home","Purdue","Fairfield",44,27,46,30,90,57,"Big Ten","MAAC"
2018-11-06,13,"away","Morgan St.","Villanova",43,54,34,46,77,100,"MEAC","Big East"
2018-11-06,13,"home","Villanova","Morgan St.",54,43,46,34,100,77,"Big East","MEAC"
2018-11-06,14,"away","Cedarville","Akron",29,31,21,39,50,70,NA,"MAC"
2018-11-06,14,"home","Akron","Cedarville",31,29,39,21,70,50,"MAC",NA
2018-11-06,15,"away","Rivier","New Hampshire",18,52,36,56,54,108,NA,"AE"
2018-11-06,15,"home","New Hampshire","Rivier",52,18,56,36,108,54,"AE",NA
2018-11-06,16,"away","CCNY","Fordham",25,45,33,61,58,106,NA,"A10"
2018-11-06,16,"home","Fordham","CCNY",45,25,61,33,106,58,"A10",NA
2018-11-06,17,"away","Chicago St.","Indiana",32,53,23,51,55,104,"WAC","Big Ten"
2018-11-06,17,"home","Indiana","Chicago St.",53,32,51,23,104,55,"Big Ten","WAC"
2018-11-06,18,"away","Tiffin","Bowling Green",20,45,32,46,52,91,NA,"MAC"
2018-11-06,18,"home","Bowling Green","Tiffin",45,20,46,32,91,52,"MAC",NA
2018-11-06,19,"away","Concordia (MI)","Central Mich.",25,41,42,57,67,98,NA,"MAC"
2018-11-06,19,"home","Central Mich.","Concordia (MI)",41,25,57,42,98,67,"MAC",NA
2018-11-06,20,"away","Bryant","Rhode Island",32,49,31,48,63,97,"NEC","A10"
2018-11-06,20,"home","Rhode Island","Bryant",49,32,48,31,97,63,"A10","NEC"
2018-11-06,21,"away","Sacred Heart","Holy Cross",30,51,51,42,81,93,"NEC","Patriot"
2018-11-06,21,"home","Holy Cross","Sacred Heart",51,30,42,51,93,81,"Patriot","NEC"
2018-11-06,22,"away","Brevard","South Carolina St.",18,47,33,52,51,99,NA,"MEAC"
2018-11-06,22,"home","South Carolina St.","Brevard",47,18,52,33,99,51,"MEAC",NA
2018-11-06,23,"away","Mars Hill","Appalachian St.",39,60,23,65,62,125,NA,"Sun Belt"
2018-11-06,23,"home","Appalachian St.","Mars Hill",60,39,65,23,125,62,"Sun Belt",NA
2018-11-06,24,"away","Cleveland St.","Davidson",31,42,32,41,63,83,"Horizon","A10"
2018-11-06,24,"home","Davidson","Cleveland St.",42,31,41,32,83,63,"A10","Horizon"
